JobID,Href,Title
887393,/887393/vendedor-rutero.aspx,Ver oferta
887391,/887391/modelista-sastre.aspx,COSTURERA Y OFICIOS VARIOS
887391,/887391/modelista-sastre.aspx,Ver oferta
887389,/887389/operario-de-produccion.aspx,OPERARIO PRODUCCION BOULEVARD DEL EJERCITO NACIONAL _ SAN SALVADOR
887389,/887389/operario-de-produccion.aspx,Ver oferta
887386,/887386/jefe-de-ingenieria-de-procesos.aspx,COORDINADOR MEJORA CONTINUA
887386,/887386/jefe-de-ingenieria-de-procesos.aspx,Ver oferta
887387,/887387/promotora-de-ventas.aspx,PROMOTOR DE VENTAS PARA ZONA CENTRAL
887387,/887387/promotora-de-ventas.aspx,Ver oferta
887383,/887383/gerente-de-mercadeo-y-ventas.aspx,GERENTE REGIONAL DE VENTAS Y MERCADEO
887383,/887383/gerente-de-mercadeo-y-ventas.aspx,Ver oferta
887382,/887382/display.aspx,AUXILIARES DE TIENDA ZONA CENTRO DE SAN SALVADOR
887382,/887382/display.aspx,Ver oferta
887399,/887399/tecnico-en-refrigeracion.aspx,Técnico de Aire Acondicionado
887399,/887399/tecnico-en-refrigeracion.aspx,Ver oferta
887381,/887381/panadero.aspx,HORNERO(A) TEMPORAL MAXI DESPENSA USULUTAN
887381,/887381/panadero.aspx,Ver oferta
887380,/887380/display.aspx,Auxiliares de tienda o Cajeros Despensa Familiar Santa Rosa de Lima (La Unión)
887380,/887380/display.aspx,Ver oferta
887379,/887379/ejecutivo-de-ventas.aspx,ASESOR DE VENTA (SAN JUAN OPICO Y QUEZALTEPEQUE)
887379,/887379/ejecutivo-de-ventas.aspx,Ver oferta
887376,/887376/display.aspx,CAJEROS(AS) AUXILIARES MEDIO TIEMPO DESPENSA FAMILIAR CUSCATANCINGO
887376,/887376/display.aspx,Ver oferta
887378,/887378/cajero.aspx,CAJERO (SANTA ANA)
887378,/887378/cajero.aspx,Ver oferta
887375,/887375/auxiliar-contable.aspx,AUXILIAR CONTABLE
887375,/887375/auxiliar-contable.aspx,Ver oferta
887367,/887367/analista-de-inteligencia-de-negocios.aspx,ANALISTA DE INTELIGENCIA DE MERCADO
887367,/887367/analista-de-inteligencia-de-negocios.aspx,Ver oferta
887364,/887364/gestor-de-cobros.aspx,Gestor de Cobro de Mora Menor - San Marcos
887364,/887364/gestor-de-cobros.aspx,Ver oferta
887275,/887275/panadero.aspx,PANADERO NEJAPA
887275,/887275/panadero.aspx,Ver oferta
874374,/874374/ejecutivo-de-ventas.aspx,EJECUTIVO DE VENTAS DE TRANSPORTE DE CARGA TERRESTRE - LA LIBERTAD
874374,/874374/ejecutivo-de-ventas.aspx,Ver oferta
882340,/882340/ejecutivo-de-ventas.aspx,"Ejecutivo de ventas - Lourdes Colón, La Libertad."
882340,/882340/ejecutivo-de-ventas.aspx,Ver oferta
887130,/887130/mesero.aspx,MESERO (A)
887130,/887130/mesero.aspx,Ver oferta
887124,/887124/asistente-de-cocina.aspx,COCINERO DE COMIDA MEXICANA
887124,/887124/asistente-de-cocina.aspx,Ver oferta
887352,/887352/gerente-de-desarrollo-organizacional.aspx,ESPECIALISTA DE DESARROLLO ORGANIZACIONAL
887352,/887352/gerente-de-desarrollo-organizacional.aspx,Ver oferta
